照片名称,拍摄时间,经度,纬度
img_5613.jpg,2017:12:15 09:36:28,111.2562638888889,39.92112222222222
img_5614.jpg,2017:12:15 09:37:26,111.25669722222223,39.92632222222222
img_5615.jpg,2017:12:15 09:37:33,111.2566138888889,39.926899999999996
img_5616.jpg,2017:12:15 09:37:47,111.25634722222222,39.92813888888889
img_5617.jpg,2017:12:15 09:38:00,111.25596666666667,39.92938888888889
img_5618.jpg,2017:12:15 09:38:10,111.2556,39.93037777777778
img_5619.jpg,2017:12:15 09:38:15,111.25538611111111,39.93093888888889
img_5620.jpg,2017:12:15 09:38:41,111.2545,39.93351388888888
img_5621.jpg,2017:12:15 09:39:14,111.25435,39.93396111111111
img_5622.jpg,2017:12:15 09:40:04,111.25446388888889,39.933674999999994
img_5623.jpg,2017:12:15 09:40:30,111.25450833333333,39.93346666666666
img_5624.jpg,2017:12:15 09:42:13,111.25402777777778,39.93478888888889
img_5625.jpg,2017:12:15 09:42:19,111.25392222222223,39.93505555555555
img_5626.jpg,2017:12:15 09:42:35,111.25392777777778,39.935116666666666
img_5627.jpg,2017:12:15 09:42:41,111.25393611111112,39.935111111111105
img_5628.jpg,2017:12:15 09:44:21,111.25413611111111,39.93516666666666
img_5629.jpg,2017:12:15 09:44:44,111.25405,39.93525277777778
img_5630.jpg,2017:12:15 09:46:46,111.2535861111111,39.936099999999996
img_5631.jpg,2017:12:15 09:46:48,111.25351666666667,39.93618333333333
img_5632.jpg,2017:12:15 09:46:56,111.25336388888888,39.936588888888885
img_5633.jpg,2017:12:15 09:47:06,111.25320555555555,39.93709166666666
img_5634.jpg,2017:12:15 09:47:08,111.253175,39.93718333333333
img_5635.jpg,2017:12:15 09:47:12,111.25312777777778,39.93731944444444
img_5636.jpg,2017:12:15 09:47:38,111.25253333333333,39.938919444444444
img_5637.jpg,2017:12:15 09:47:42,111.25235833333333,39.93929166666666
img_5638.jpg,2017:12:15 09:47:44,111.25227222222222,39.93948333333333
img_5639.jpg,2017:12:15 09:48:03,111.25155555555556,39.94155
img_5640.jpg,2017:12:15 09:48:13,111.25124444444444,39.942474999999995
img_5641.jpg,2017:12:15 09:48:15,111.25119722222222,39.9426
