location_x,location_y
3.0244515,-18.401115
3.0365252,-18.594727
3.0557086,-18.822771
3.0673192,-18.978952
3.0787954,-19.172739
3.0906863,-19.354099
3.1033726,-19.564594
3.1162441,-19.745508
3.1305964,-19.970787
3.1412847,-20.143356
3.1530635,-20.340143
3.1675806,-20.54693
3.1804917,-20.721756
3.1921749,-20.9132
3.2025323,-21.119356
3.2159777,-21.311823
3.2271602,-21.511675
3.2381885,-21.689213
3.251797,-21.876648
3.2630517,-22.078817
3.2800126,-22.322996
3.2915673,-22.496185
3.3052161,-22.691683
3.3160305,-22.865211
3.3264804,-23.051983
3.3407748,-23.25391
3.3538308,-23.426474
3.3649857,-23.640614
3.3796926,-23.847019
3.3928087,-24.040131
3.4024615,-24.211655
3.4193642,-24.441395
3.4323635,-24.615675
3.4431179,-24.803087
3.4555087,-25.001202
3.4704762,-25.200493
3.4826586,-25.39517
3.4966567,-25.604044
3.5098071,-25.798664
3.5207016,-25.985308
3.5314777,-26.169693
3.5430608,-26.368721
3.5567224,-26.59005
3.5689688,-26.762413
3.5774238,-26.93327
3.5913742,-27.164621
3.6032739,-27.335798
3.6167004,-27.528965
3.6303837,-27.727602
3.6429412,-27.923836
3.6561534,-28.122517
3.6688917,-28.299463
3.6789312,-28.485054
3.69291,-28.703049
3.7084525,-28.886068
3.7185445,-29.085289
3.7345734,-29.282085
3.7498453,-29.481346
3.7617867,-29.674582
3.7761207,-29.870934
3.7898886,-30.064209
3.803175,-30.248037
3.815882,-30.457907
3.8300481,-30.645172
3.8432584,-30.84236
3.8562968,-31.035307
3.8695114,-31.233717
3.8812129,-31.413429
3.8970575,-31.629122
3.9064419,-31.781057
3.9211268,-32.002785
3.9310188,-32.189373
3.9440641,-32.377327
3.9621432,-32.594803
3.9719574,-32.753616
3.9871471,-32.974693
3.998265,-33.148083
4.0139165,-33.355724
4.0275397,-33.551334
4.0402803,-33.747807
4.0539017,-33.939739
4.0668011,-34.150242
4.0774951,-34.326614
4.0914397,-34.508945
4.105547,-34.742561
4.1196089,-34.942757
4.1293736,-35.103607
4.1434226,-35.299057
4.1566825,-35.506557
4.1665277,-35.682484
4.1823163,-35.926628
4.1926398,-36.078384
4.2057133,-36.281498
4.2184243,-36.479263
4.2336245,-36.674355
4.2493567,-36.882481
4.2631435,-37.090004
4.2741632,-37.253979
4.2892919,-37.458637
4.3033872,-37.656616
4.3176727,-37.847836
4.3309083,-38.051437
4.3452449,-38.27676
4.3566837,-38.454456
4.3707194,-38.664635
4.3830805,-38.826656
4.394403,-39.016266
4.4109845,-39.228119
4.4228005,-39.407257
4.4370875,-39.627808
4.4530854,-39.845722
4.4654298,-40.016769
4.4788814,-40.19875
4.493041,-40.400204
4.5073147,-40.617199
4.5218501,-40.813076
4.5317917,-40.984264
4.5451097,-41.19614
4.5586877,-41.388779
4.5741801,-41.590778
4.5872655,-41.779396
4.6011796,-41.954693
4.6174002,-42.173576
4.6305947,-42.355797
4.6440091,-42.564869
4.6575985,-42.736492
4.669868,-42.941368
4.6832967,-43.118717
4.6992192,-43.346756
4.7087831,-43.505466
4.7242465,-43.725452
4.7372713,-43.91296
4.7520056,-44.106476
4.7673655,-44.314941
4.7821274,-44.504707
4.7941513,-44.693386
4.8075047,-44.903687
4.8214288,-45.090168
4.8327618,-45.279739
4.848351,-45.499535
4.8621945,-45.687256
4.8764968,-45.871586
4.8884969,-46.056126
4.906311,-46.280556
4.9156895,-46.444675
