location_x,location_y
-72.881508,-3.539501
-73.482582,-3.5692954
-74.079391,-3.5973973
-74.676582,-3.6274633
-75.289772,-3.6557574
-75.87664,-3.6835515
-76.489006,-3.7131379
-77.084335,-3.7402267
-77.692757,-3.7710347
-78.293129,-3.8000805
-78.909569,-3.8311427
-79.503654,-3.8603988
-80.107246,-3.8879044
-80.713165,-3.9174523
-81.314972,-3.9459887
-81.908501,-3.9757318
-82.531517,-4.0052557
-83.13353,-4.0344219
-83.749077,-4.0637994
-84.350761,-4.0923533
-84.965454,-4.1214685
-85.579803,-4.1514325
-86.177338,-4.1809721
-86.780983,-4.2103553
-87.385689,-4.2410121
-87.984238,-4.2702217
-88.595093,-4.2989478
-89.200317,-4.3292222
-89.830734,-4.3584251
-90.419029,-4.3868427
-91.026253,-4.4174185
-91.641357,-4.4461589
-92.256836,-4.477088
-92.854805,-4.5053334
-93.473679,-4.5349112
-94.063713,-4.5645199
-94.667702,-4.5917382
-95.288071,-4.6211648
-95.877663,-4.6499171
-96.48114,-4.6790075
-97.090034,-4.709228
-97.689766,-4.7374964
-98.298363,-4.7654791
-98.895264,-4.7955279
-99.509132,-4.8237934
-100.11259,-4.8535295
-100.71832,-4.8833508
-101.31627,-4.9117494
-101.92024,-4.9417
-102.52141,-4.9721909
-103.13137,-5.0026708
-103.73129,-5.0305324
-104.32397,-5.0592108
-104.93102,-5.0893698
-105.53471,-5.118001
-106.12816,-5.146646
-106.74091,-5.1763115
-107.34035,-5.2059293
-107.96097,-5.2336192
-108.56634,-5.2605309
-109.17631,-5.2929206
-109.78223,-5.32235
-110.38954,-5.3516636
-110.99847,-5.3802409
-111.61134,-5.4088259
-112.21313,-5.4392309
-112.81982,-5.4681101
-113.42937,-5.4986033
-114.01791,-5.5278678
-114.6204,-5.5547175
-115.2253,-5.5846357
-115.83379,-5.613843
-116.43685,-5.6428061
-117.03368,-5.6715469
-117.6381,-5.7008719
-118.23887,-5.7306528
-118.84011,-5.757195
-119.44473,-5.7870493
-120.04543,-5.8174028
-120.64409,-5.847424
-121.24574,-5.8745708
-121.85133,-5.9062386
-122.45691,-5.9351497
-123.05518,-5.963984
-123.66705,-5.994348
-124.26972,-6.0242276
-124.8755,-6.0526772
-125.47478,-6.0826259
-126.07372,-6.11058
-126.68103,-6.1399045
-127.27455,-6.1686687
-127.87723,-6.1976471
-128.47646,-6.2265143
-129.08942,-6.2576466
-129.6899,-6.2870951
-130.29358,-6.3154964
-130.89752,-6.3432226
-131.49913,-6.3725543
-132.09218,-6.4012523
-132.70512,-6.429975
-133.30128,-6.4601078
-133.90866,-6.488142
-134.4993,-6.5177808
-135.09541,-6.5456433
-135.71573,-6.5749283
-136.31511,-6.604363
-136.91835,-6.6336355
-137.50737,-6.6639338
-138.10022,-6.6911211
-138.70752,-6.7210455
-139.30362,-6.7495189
-139.90042,-6.7812476
-140.5089,-6.80968
-141.11685,-6.8401394
-141.70937,-6.8699422
-142.32184,-6.9010444
-142.9075,-6.928937
-143.50528,-6.9582667
-144.09612,-6.986691
-144.69441,-7.0162711
-145.30118,-7.0442877
-145.91704,-7.0756979
-146.50774,-7.1062212
-147.1107,-7.134501
-147.70851,-7.1624551
-148.29424,-7.1892176
-148.89969,-7.2180734
-149.48979,-7.2475009
-150.09084,-7.2770038
-150.7104,-7.307353
-151.30363,-7.3345323
-151.89957,-7.3653426
-152.48936,-7.3931241
-153.09811,-7.4228864
-153.68785,-7.4516244
-154.30098,-7.4806685
-154.90849,-7.509995
-155.49593,-7.53898
-156.11391,-7.5669365
-156.70755,-7.5967326
-157.30342,-7.6246982
-157.91232,-7.65413
-158.50856,-7.6814003
-159.11366,-7.709043
-159.7252,-7.7381411
-160.32068,-7.7673812
-160.93591,-7.7954741
-161.51941,-7.820282
-162.11287,-7.8522882
-162.72533,-7.882071
-163.32457,-7.9106483
-163.91856,-7.9359803
-164.5327,-7.9621868
-165.12753,-7.988832
-165.72627,-8.0160294
-166.32065,-8.046011
-166.92271,-8.074667
-167.5253,-8.1003599
-168.15494,-8.1323328
-168.74319,-8.1596174
-169.35619,-8.1881638
-169.95761,-8.2153902
-170.57079,-8.2453241
-171.17513,-8.2715664
-171.78012,-8.2994566
-172.39342,-8.3307905
-172.98451,-8.360095
-173.58858,-8.3881121
-174.1953,-8.414855
-174.80595,-8.4409161
-175.42545,-8.4723005
-176.03352,-8.5021334
-176.64627,-8.5315323
-177.25414,-8.5590067
-177.85318,-8.5847664
-178.45947,-8.6116772
