,X,Y,Z,Classification
37384,1175006.02,1882946.04,593.03,2
37393,1175006.02,1882600.73,593.66,2
37401,1175006.03,1884919.78,593.53,2
37495,1175006.04,1883291.53,605.04,6
38284,1175006.16,1884949.67,640.62,5
38343,1175006.16,1882918.94,640.86,5
38493,1175006.18,1882509.03,593.04,2
38560,1175006.19,1882522.78,593.03,2
38752,1175006.23,1884906.0,595.44,3
38846,1175006.24,1884212.78,593.1,2
38971,1175006.26,1884775.36,596.45,3
39190,1175006.29,1883814.05,598.88,3
39394,1175006.32,1884701.99,625.83,6
39595,1175006.35,1884937.42,645.5600000000001,5
39979,1175006.4000000001,1882780.55,593.64,2
40142,1175006.43,1884762.74,603.16,3
40173,1175006.43,1883397.33,594.08,3
40235,1175006.44,1883653.1,598.11,3
40392,1175006.47,1884822.1600000001,599.5,3
40661,1175006.5,1882944.56,633.44,5
40803,1175006.52,1883247.81,593.03,7
41275,1175006.58,1882905.72,648.38,5
41506,1175006.62,1884685.08,592.77,2
41554,1175006.62,1882857.95,626.09,5
41605,1175006.6300000001,1883259.1500000001,603.5,6
41791,1175006.66,1883977.45,593.25,2
41965,1175006.68,1882966.02,621.25,5
42406,1175006.75,1883920.32,613.54,5
42555,1175006.77,1884233.4100000001,598.44,3
42748,1175006.8,1884316.48,599.28,3
42782,1175006.8,1882888.6300000001,649.77,5
42926,1175006.83,1883944.85,594.32,3
43309,1175006.9000000001,1883927.27,606.28,4
43474,1175006.93,1884148.21,602.9300000000001,6
43547,1175006.94,1883580.49,601.26,6
43709,1175006.97,1883756.8900000001,617.01,6
44038,1175007.03,1882794.29,594.12,2
44408,1175007.11,1884958.3800000001,631.35,5
44645,1175007.1500000001,1884941.36,638.41,5
45015,1175007.21,1884938.05,647.64,5
45277,1175007.25,1883051.82,667.53,5
45924,1175007.35,1883984.55,593.75,2
46330,1175007.41,1883050.53,660.6800000000001,5
46504,1175007.44,1883230.8900000001,602.22,3
46525,1175007.44,1882613.06,593.5500000000001,2
46570,1175007.45,1883125.58,593.59,2
46749,1175007.48,1884541.98,619.61,6
46765,1175007.48,1884287.94,592.26,2
46972,1175007.51,1883860.97,593.11,3
47341,1175007.57,1883232.76,593.69,2
47378,1175007.58,1884742.43,627.26,6
47487,1175007.59,1882935.1500000001,593.41,2
47722,1175007.6300000001,1883015.22,631.92,5
47751,1175007.6400000001,1884237.24,597.9300000000001,3
48175,1175007.7,1883053.49,659.98,5
48393,1175007.74,1884156.55,596.64,3
48551,1175007.77,1884788.5,611.64,6
48641,1175007.78,1883071.49,597.67,3
49693,1175007.93,1882865.28,634.02,5
49745,1175007.94,1883069.6300000001,663.83,5
49905,1175007.97,1884378.99,593.24,2
50059,1175007.99,1883313.87,603.89,6
50132,1175008.0,1882957.47,627.58,5
50451,1175008.06,1884124.29,597.73,3
50719,1175008.1,1882905.5,653.13,5
50890,1175008.1300000001,1883287.83,604.61,6
